#Time;Emotion
10;connectedness
17;connectedness
19;surprise
20;connectedness
26;elation
37;connectedness
43;connectedness
43;connectedness
45;connectedness
50;elation
51;connectedness
54;elation
60;anger
60;anger
65;unhappiness
66;anger
68;connectedness
70;anger
82;connectedness
84;connectedness
97;worry
101;worry
113;connectedness
124;anger
125;worry
126;worry
131;anger
131;connectedness
131;connectedness
138;connectedness
147;worry
148;connectedness
150;surprise
150;elation
151;elation
155;unhappiness
158;worry
168;surprise
172;connectedness
175;connectedness
176;anger
176;surprise
179;worry
187;connectedness
187;connectedness
202;anger
202;anger
204;connectedness
204;worry
208;anger
209;anger
209;anger
210;surprise
211;anger
212;anger
212;anger
213;connectedness
218;unhappiness
224;anger
231;anger
231;connectedness
235;connectedness
237;anger
244;connectedness
251;anger
253;worry
255;worry
258;anger
261;worry
261;elation
270;connectedness
272;worry
274;worry
276;connectedness
277;worry
279;worry
281;elation
283;elation
289;connectedness
291;worry
293;unhappiness
293;surprise
299;connectedness
302;connectedness
304;anger
307;connectedness
307;elation
310;connectedness
313;worry
314;worry
315;connectedness
315;worry
315;surprise
330;elation
334;elation
335;worry
336;connectedness
343;worry
347;worry
353;elation
354;elation
357:score
361;elation
363;connectedness
363;elation
364;connectedness
364;elation
365;elation
365;elation
365;elation
365;connectedness
369;elation
370;elation
371;elation
373;elation
374;elation
375;surprise
376;elation
376;elation
378;elation
380;surprise
381;elation
381;elation
381;connectedness
391;connectedness
394;connectedness
397;elation
397;anger
399;worry
403;elation
404;elation
407;connectedness
408;elation
412;elation
412;elation
413;elation
418;elation
419;elation
429;elation
433;elation
436;elation
437;anger
438;elation
438;connectedness
441;elation
447;elation
452;worry
465:score
472;anger
473;worry
474;unhappiness
474;unhappiness
480;unhappiness
481;anger
487;surprise
488;anger
491;unhappiness
495;elation
508;anger
509;connectedness
510;unhappiness
511;connectedness
514;anger
516;worry
517;elation
529;unhappiness
532;worry
534;worry
540;elation
540;elation
549;connectedness
551;worry
551;elation
558;elation
560;anger
561:score
565;surprise
567;worry
568;elation
568;unhappiness
570;worry
586;connectedness
588;anger
590;elation
605;anger
606;elation
613;unhappiness
614;unhappiness
617;connectedness
619;worry
620;worry
621;worry
623:score
632;connectedness
635;elation
635;elation
637;elation
642;elation
645;connectedness
647;elation
651;connectedness
652;connectedness
654;elation
656;elation
661;elation
666;connectedness
671;anger
676;connectedness
677;elation
677;connectedness
679;connectedness
680;connectedness
683;elation
685;worry
691;elation
697;connectedness
700;worry
702:score
708;elation
708;elation
711;elation
712;elation
714;elation
716;elation
718;elation
725;elation
731;anger
739;elation
746;elation
746;elation
750;connectedness
756;elation
765;elation
767;elation
772;elation
778;surprise
779;connectedness
779;elation
794;elation
796;connectedness
799;connectedness
802;elation
811;worry
819;elation
823;connectedness
824;surprise
832;connectedness
834;elation
839;connectedness
840;elation
840;surprise
840;surprise
840;surprise
840;worry
